PB_IDX,LI_IDX,EX_IDX,PB_NUM,PB_QUES,PB_DETAIL,PB_CHOI1,PB_CHOI2,PB_CHOI3,PB_CHOI4,PB_ANS,PB_SOLU,PB_CR,TOPIC_IDX
493,1,5,93,해쉬(Hash) 기법에 대한 설명으로 틀린 것은?,,임의의 길이의 입력 데이터를 받아 고정된 길이의 해쉬 값으로 변환한다.,주로 공개키 암호화 방식에서 키 생성을 위해 사용한다.,"대표적인 해쉬 알고리즘으로 HAVAL, SHA-1 등이 있다.",해쉬 함수는 일방향 함수(One-way function)이다.,2,"해쉬(Hash) 기법은 임의의 길이를 가진 데이터를 고정된 길이의 해쉬 값으로 변환하는 일방향 함수입니다.  쉽게 말해, 아무리 긴 글이나 파일이라도 해쉬 함수에 넣으면 특정 길이의 암호 같은 값(해쉬 값)이 나오는 것이죠.  그리고 중요한 점은 이 과정은 일방향이라는 것입니다.  해쉬 값을 가지고 원래 데이터를 알아낼 수 없습니다.  마치 계란을 깨뜨리는 것은 쉽지만, 깨진 계란을 다시 원래대로 조립하는 것은 불가능한 것과 같습니다.  문제에서 틀린 설명은 공개키 암호화 방식에서 키 생성에 해쉬 기법이 주로 사용된다는 것입니다.  공개키 암호화는 해쉬 기법과는 다른 암호화 방식이며, 키 생성에는 다른 알고리즘이 사용됩니다.  해쉬 기법은 데이터 무결성 검증, 디지털 서명 등 다양한 분야에서 활용되지만, 주된 용도는 키 생성이 아닙니다.  HAVAL이나 SHA-1과 같은 알고리즘은 대표적인 해쉬 알고리즘이며, 해쉬 함수가 일방향 함수라는 것도 맞는 설명입니다. 따라서 공개키 암호화 방식에서 키 생성에 해쉬 기법이 주로 사용된다는 설명만이 틀린 것입니다.",50,21
494,1,5,94,IPSec(IP Security)에 대한 설명으로 틀린 것은?,,암호화 수행시 일방향 암호화만 지원한다.,"ESP는 발신지 인증, 데이터 무결성, 기밀성 모두를 보장한다.",운영 모드는 Tunnel 모드와 Transport 모드로 분류된다.,"AH는 발신지 호스트를 인증하고, IP 패킷의 무결성을 보장한다.",1,"IPSec(IP Security)는 IP 패킷을 암호화하고 인증하는 보안 프로토콜입니다.  문제에서 틀린 설명을 찾는 것이 목표인데요,  IPSec은 데이터의 기밀성과 무결성을 보장하기 위해 암호화를 사용합니다.  그리고 이 암호화는 양방향 암호화를 지원합니다.  즉, 데이터를 암호화하여 전송하고, 수신측에서 복호화하여 원래 데이터를 복구하는 과정을 거치죠.  따라서 일방향 암호화만 지원한다는 설명은 사실과 다릅니다.  ESP(Encapsulating Security Payload)는 데이터의 기밀성, 무결성, 발신지 인증을 모두 제공하며, AH(Authentication Header)는 발신지 인증과 데이터 무결성을 보장합니다.  마지막으로 IPSec은 Tunnel 모드와 Transport 모드라는 두 가지 운영 모드를 제공합니다.  따라서 문제에서 제시된 틀린 설명은 바로 암호화 방식에 대한 부분입니다.  IPSec은 데이터의 안전한 전송을 위해 양방향 암호화를 사용하기 때문입니다.",68,45
495,1,5,95,메모리상에서 프로그램의 복귀 주소와 변수 사이에 특정 값을 저장해 두었다가 그 값이 변경되었을 경우 오버플로우 상태로 가정하여 프로그램 실행을 중단하는 기술은?,,Stack Guard,Bridge,ASLR,FIN,1,"이 문제는 프로그램의 안전성을 확보하기 위한 보안 기술 중 하나를 묻고 있습니다.  프로그램이 실행될 때, 메모리에는 프로그램의 실행 순서를 기록하는 '스택'이라는 영역이 존재합니다.  함수를 호출하면 복귀 주소(함수가 끝난 후 돌아갈 위치)가 스택에 저장되고, 함수 내부에서 사용하는 변수들도 스택에 저장됩니다.  만약 악의적인 공격자가 이 스택에 저장된 복귀 주소를 변경하면, 프로그램이 의도하지 않은 위치로 이동하여 실행될 수 있습니다. 이를 '스택 오버플로우 공격'이라고 합니다.",79,11
496,1,5,96,침입차단 시스템(방화벽) 중 다음과 같은 형태의 구축 유형은?,https://www.cbtbank.kr/images/iz/iz20210515/iz20210515m96.gif,Block Host,Tree Host,Screened Subnet,Ring Homed,3,"이 문제는 침입 차단 시스템(방화벽)의 구축 유형에 대한 문제입니다.  네트워크 보안을 위해 방화벽을 설치하는데, 단순히 하나의 방화벽만 설치하는 것보다 더욱 안전하고 효율적인 구조를 만들기 위해 여러 방식이 존재합니다.  정답으로 제시된 구축 유형은 '스크린드 서브넷(Screened Subnet)' 방식입니다.  이 방식은 내부 네트워크를 하나 이상의 방화벽으로 보호하는 구조입니다.  외부 네트워크와 직접 연결되지 않고,  DMZ(Demilitarized Zone, 비무장 지대)라고 불리는 중간 영역을 두어 외부에서 접근 가능한 서버들을 배치합니다.  이 DMZ는 첫 번째 방화벽에 의해 외부 네트워크와 분리되고, DMZ 내부의 서버들은 두 번째 방화벽에 의해 내부 네트워크와 분리됩니다.  만약 외부에서 공격이 들어오더라도 DMZ에서 차단되고, 내부 네트워크는 안전하게 보호될 수 있습니다.  이는 단일 방화벽보다 훨씬 강력한 보안을 제공하며,  외부 공격으로부터 내부 네트워크를 효과적으로 보호하는 다층 방어 시스템을 구축하는 것입니다.  다른 선택지들은 이러한 다층 방어 구조를 갖추지 못하거나,  보안에 취약한 구조를 가지고 있습니다. 따라서, 내부 네트워크를 효과적으로 보호하기 위해서는 스크린드 서브넷 방식과 같은 다중 방화벽 구조가 필수적입니다.",50,49
497,1,5,97,Secure OS의 보안 기능으로 거리가 먼 것은?,,식별 및 인증,임의적 접근 통제,고가용성 지원,강제적 접근 통제,3,"Secure OS(보안 운영체제)는 시스템의 보안을 강화하기 위해 다양한 기능을 제공합니다.  식별 및 인증 기능은 사용자의 신원을 확인하고 시스템 접근을 허용하는 기본적인 보안 기능입니다.  임의적 접근 통제와 강제적 접근 통제는 모두 시스템 자원에 대한 접근을 제어하는 기능으로,  임의적 접근 통제는 사용자나 프로세스가 자원에 대한 접근 권한을 설정하고 관리하는 방식이고, 강제적 접근 통제는 시스템 관리자가 미리 정의한 보안 정책에 따라 접근 권한을 제어하는 방식입니다.  하지만 고가용성 지원은 시스템의 안정적인 운영과 지속적인 서비스 제공을 위한 기능으로,  직접적인 보안 기능이라고 보기는 어렵습니다.  고가용성은 시스템 장애 발생 시에도 서비스를 지속적으로 제공하기 위한 기능이지,  외부의 공격이나 무단 접근으로부터 시스템을 보호하는 기능은 아닙니다. 따라서 Secure OS의 보안 기능과는 거리가 먼 것은 고가용성 지원입니다.  Secure OS는 안전한 시스템 운영을 위해 보안 기능을 중점적으로 제공하지만,  고가용성은 시스템의 안정성을 높이는 부가적인 기능으로,  보안 기능과는 목적이 다릅니다.",75,51
498,1,5,98,서버에 열린 포트 정보를 스캐닝해서 보안취약점을 찾는데 사용하는 도구는?,,type,mkdir,ftp,nmap,4,"서버의 보안 취약점을 찾는 과정에서 가장 중요한 것은 서버가 어떤 포트를 열어놓고 외부와 통신하고 있는지 파악하는 것입니다.  마치 집의 문과 창문이 어디에 있는지 확인하는 것과 같습니다.  열려있는 포트는 외부 공격에 취약한 지점이 될 수 있기 때문입니다.  nmap은 바로 이러한 열린 포트들을 스캐닝하여 확인하는 데 사용되는 도구입니다.  nmap을 사용하면 서버가 어떤 서비스를 제공하고 있는지, 그리고 그 서비스에 보안 취약점이 있는지 여부를 파악할 수 있습니다.  다른 선택지들은 서버의 포트 정보를 스캐닝하는 기능을 제공하지 않습니다. type은 파일의 종류를 확인하고, mkdir은 디렉토리를 생성하며, ftp는 파일 전송 프로토콜입니다. 따라서 서버의 열린 포트 정보를 스캐닝하여 보안 취약점을 찾는 데 사용되는 도구는 nmap입니다.  마치 의사가 환자의 상태를 진단하기 위해 여러 검사를 하는 것처럼, nmap은 서버의 보안 상태를 진단하는 중요한 도구라고 할 수 있습니다.",68,56
499,1,5,99,서로 다른 네트워크 대역에 있는 호스트들 상호간에 통신할 수 있도록 해주는 네트워크 장비는?,,L2 스위치,HIPO,라우터,RAD.,3,"서로 다른 네트워크 대역에 있는 호스트는 서로 직접 통신할 수 없습니다.  마치 다른 나라에 있는 사람들끼리 편지를 주고받으려면 우체국(중간 경유지)을 거쳐야 하는 것과 같습니다.  각 네트워크 대역은 고유한 주소 체계를 가지고 있기 때문에, 이 주소 체계를 이해하고 서로 다른 대역 간의 통신 경로를 설정해주는 장비가 필요합니다.  이 역할을 하는 것이 바로 라우터입니다. 라우터는 여러 네트워크를 연결하여 데이터 패킷이 목적지 호스트에 도착할 수 있도록 경로를 선택하고 전달하는 역할을 합니다.  L2 스위치는 같은 네트워크 내의 호스트 간 통신을 담당하고, HIPO와 RAD는 문제와 관련이 없는 용어입니다. 따라서 서로 다른 네트워크 대역에 있는 호스트 간 통신을 가능하게 하는 장비는 라우터입니다.",79,49
500,1,5,100,암호화 키와 복호화 키가 동일한 암호화 알고리즘은?,,RSA,AES,DSA,ECC,2,"암호화는 정보를 다른 사람이 알아볼 수 없도록 변환하는 기술이고, 복호화는 암호화된 정보를 다시 원래대로 돌리는 기술입니다.  암호화 알고리즘은 암호화와 복호화에 사용하는 방법을 정의하는데,  키는 이 과정에서 정보를 암호화하고 복호화하는 데 사용되는 비밀번호와 같은 특별한 값입니다.  문제에서 묻는 것은 암호화 키와 복호화 키가 같은 알고리즘, 즉 같은 키를 사용하여 암호화와 복호화를 모두 수행하는 알고리즘입니다.  RSA, DSA, ECC 알고리즘은 서로 다른 키를 사용하는 공개키 암호화 방식을 사용합니다.  공개키는 누구나 알 수 있지만, 개인키는 소유자만 알고 있어야 합니다.  반면에 AES는 대칭키 암호화 방식으로, 암호화와 복호화에 동일한 키를 사용합니다.  따라서 암호화 키와 복호화 키가 같은 알고리즘은 AES입니다.  마치 같은 자물쇠와 열쇠를 사용하여 상자를 잠그고 여는 것과 같습니다.",57,54
501,1,6,1,요구사항 검증(Requirements Validation)과 관련한 설명으로 틀린 것은?,,요구사항이 고객이 정말 원하는 시스템을 제대로 정의하고 있는지 점검하는 과정이다.,개발완료 이후에 문제점이 발견될 경우 막대한 재작업 비용이 들 수 있기 때문에 요구사항 검증은 매우 중요하다.,"요구사항이 실제 요구를 반영하는지, 문서상의 요구사항은 서로 상충되지 않는지 등을 점검한다.",요구사항 검증 과정을 통해 모든 요구사항 문제를 발견할 수 있다.,4,"요구사항 검증은 고객이 원하는 시스템을 제대로 만들고 있는지 확인하는 아주 중요한 과정입니다.  마치 건물을 짓기 전에 설계도를 꼼꼼히 검토하는 것과 같습니다.  설계도에 오류가 있으면 건물이 무너질 수도 있듯이, 시스템 요구사항에 문제가 있으면 개발 후에 큰 문제가 발생하고 많은 비용을 들여 다시 작업해야 할 수도 있습니다. 따라서 요구사항이 고객의 실제 요구를 잘 반영하고 있는지, 서로 모순되는 부분은 없는지 등을 꼼꼼하게 검토하는 것이 필수적입니다. 하지만 아무리 검증을 잘해도 모든 문제를 100% 찾아낼 수는 없습니다.  미처 발견하지 못한 작은 오류가 나중에 큰 문제로 이어질 가능성도 항상 존재하기 때문입니다.  완벽한 검증은 어렵지만, 최대한 많은 문제점을 사전에 발견하여  개발 과정의 효율성을 높이고, 최종 결과물의 품질을 높이는 것이 요구사항 검증의 목표입니다.  따라서 모든 요구사항 문제를 발견할 수 있다는 주장은 현실적으로 불가능한 것입니다.",92,2
502,1,6,2,"UML 모델에서 한 사물의 명세가 바뀌면 다른사물에 영향을 주며, 일반적으로 한 클래스가다른 클래스를 오퍼레이션의 매개변수로 사용하는 경우에 나타나는 관계는?",,Association,Dependency,Realization,Generalization,2,"UML 모델에서 한 사물의 명세가 바뀌면 다른 사물에 영향을 미치는 관계를 생각해 봅시다.  예를 들어, 자동차(Car) 클래스가 엔진(Engine) 클래스를 사용한다고 가정해 봅시다.  자동차는 엔진의 성능에 따라 속도가 달라지므로, 엔진의 명세(예: 출력)가 변경되면 자동차의 동작에도 영향을 미칩니다.  이처럼 한 클래스의 변경이 다른 클래스에 직접적인 영향을 주는 관계를 UML에서는 '의존(Dependency)' 관계라고 합니다.  '연관(Association)'은 두 클래스가 서로 연결되어 있음을 나타내지만, 한쪽 클래스의 변경이 다른 쪽에 항상 영향을 주는 것은 아닙니다.  '구현(Realization)'은 인터페이스와 클래스 간의 관계를 나타내고, '일반화(Generalization)'는 상속 관계를 나타냅니다. 따라서, 문제에서 설명하는 상황은 한 클래스가 다른 클래스의 변경에 의존하는 '의존(Dependency)' 관계를 가장 잘 나타냅니다.  오퍼레이션의 매개변수로 사용하는 경우는 특히 의존성이 강하게 나타납니다.  매개변수로 사용되는 클래스의 변경은 오퍼레이션의 동작에 직접적인 영향을 미치기 때문입니다.",65,2
503,1,6,3,익스트림 프로그래밍 (XP)에 대한 설명으로 틀린 것은?,,빠른 개발을 위해 테스트를 수행하지 않는다.,사용자의 요구사항은 언제든지 변할 수있다.,고객과 직접 대면하며 요구사항을 이야기하기 위해 사용자 스토리(User Story)를 활용할 수 있다.,기존의 방법론에 비해 실용성(Pragmatism)을 강조한 것이라고 볼 수있다.,1,"익스트림 프로그래밍(XP)은 소프트웨어 개발 방법론 중 하나로, 빠르고 유연한 개발을 목표로 합니다.  문제에서 틀린 설명은 바로 '빠른 개발을 위해 테스트를 수행하지 않는다'는 부분입니다. XP는 오히려 테스트를 매우 중요하게 생각하고, 개발 과정 전반에 걸쳐 지속적인 테스트를 강조합니다.  '테스트 주도 개발(TDD)'이라는 개념을 적극적으로 활용하여, 코드를 작성하기 전에 먼저 테스트 코드를 작성하고, 그 테스트를 통과하는 코드를 만드는 방식으로 개발의 질을 높이고, 오류를 조기에 발견하여 빠른 개발을 가능하게 합니다.  나머지 설명들은 XP의 핵심적인 특징들을 잘 나타내고 있습니다. 사용자 요구사항의 변화에 유연하게 대처하고, 고객과의 긴밀한 소통을 통해 사용자 스토리를 활용하며, 기존의 복잡한 방법론과 달리 실용성을 중시하는 점 등이 XP의 장점입니다. 따라서, 테스트를 소홀히 한다는 설명은 XP의 본질과 맞지 않아 틀린 설명이 됩니다.",91,2
504,1,6,4,소프트웨어 설계에서 사용되는 대표적인 추상화(Abstraction) 기법이 아닌 것은?,,자료 추상화,제어 추상화,과정 추상화,강도 추상화,4,"소프트웨어 설계에서 추상화는 복잡한 시스템을 단순화하여 이해하고 관리하기 위한 중요한 기법입니다.  자료 추상화는 데이터의 구체적인 표현 방식을 숨기고, 필요한 기능만을 노출시켜 사용하는 방법입니다. 예를 들어, 자동차를 생각해보면, 운전자는 엔진의 내부 작동 원리를 몰라도 운전할 수 있습니다.  운전자에게는 '가속 페달'과 '브레이크 페달'이라는 추상적인 인터페이스만 제공되면 되는 것이죠.  제어 추상화는 복잡한 제어 흐름을 단순화하여 표현하는 기법입니다.  프로그래밍에서 함수나 서브루틴을 사용하는 것이 좋은 예시입니다.  과정 추상화는 복잡한 과정을 단순화하여 표현하는 기법입니다.  예를 들어, ""문서를 인쇄한다""라는 과정은 실제로는 여러 단계의 복잡한 작업을 포함하지만, 사용자에게는 단순한 하나의 명령어로 보이는 것이죠.  반면에 '강도 추상화'라는 용어는 소프트웨어 설계에서 일반적으로 사용되는 추상화 기법이 아닙니다.  '강도'라는 단어 자체가 추상화와 관련된 개념이 아니며, 소프트웨어 설계의 맥락에서 어떤 의미를 갖는지 명확하지 않습니다. 따라서 소프트웨어 설계에서 사용되는 대표적인 추상화 기법이 아닌 것은 '강도 추상화'입니다.  다른 세 가지는 모두 소프트웨어 설계에서 흔히 사용되는 중요한 추상화 기법입니다.",81,6
505,1,6,5,객체지향 설계에서 정보 은닉(Information Hiding)과 관련한 설명으로 틀린 것은?,,필요하지 않은 정보는 접근할 수 없도록 하여 한 모듈 또는 하부시스템이 다른 모듈의 구현에 영향을 받지 않게 설계되는것을 의미한다.,모듈들 사이의 독립성을 유지시키는 데 도움이 된다.,"설계에서 은닉되어야 할 기본 정보로는 IP주소와 같은 물리적 코드, 상세 데이터 구조 등이 있다.",모듈 내부의 자료 구조와 접근 동작들에만 수정을 국한하기 때문에 요구사항 등변화에 따른 수정이 불가능하다.,4,"객체지향 설계에서 정보 은닉(Information Hiding)은 시스템의 내부 구현 방식을 외부에 감추고, 외부에서 필요한 정보만 제한적으로 접근하도록 하는 설계 원칙입니다.  이는 마치 잘 짜여진 기계처럼, 사용자는 기계의 작동 방식을 몰라도 버튼을 눌러 원하는 결과를 얻을 수 있는 것과 같습니다.  외부에서 내부 구현에 접근하지 못하도록 함으로써,  하나의 모듈이 변경되더라도 다른 모듈에 영향을 미치지 않아 시스템의 안정성과 유지보수성을 높일 수 있습니다.  IP 주소나 상세 데이터 구조와 같은 내부 정보는 외부에 노출될 필요가 없으므로 은닉되어야 합니다.  하지만,  모듈 내부 자료 구조와 접근 동작만 수정한다고 해서 모든 요구사항 변경에 대응할 수 없는 것은 아닙니다.  오히려 정보 은닉을 통해 모듈 간의 의존성을 줄임으로써,  변경에 따른 영향을 최소화하고 유연하게 대처할 수 있도록 설계하는 것이 정보 은닉의 목표입니다. 따라서,  모듈 내부의 수정만으로 모든 요구사항 변경에 대응할 수 없다는 주장은 정보 은닉의 장점을 잘못 이해한 것입니다.  정보 은닉은 변경에 대한 영향을 최소화하고,  시스템의 유지보수를 용이하게 하기 위한 설계 원칙입니다.",84,7
506,1,6,6,소프트웨어 공학에서 모델링 (Modeling)과 관련한 설명으로 틀린 것은?,,개발팀이 응용문제를 이해하는 데 도움을 줄 수 있다.,유지보수 단계에서만 모델링 기법을 활용한다.,개발될 시스템에 대하여 여러 분야의 엔지니어들이 공통된 개념을 공유하는 데 도움을 준다.,절차적인 프로그램을 위한 자료흐름도는 프로세스 위주의 모델링 방법이다.,2,"소프트웨어 개발 과정에서 모델링은 매우 중요한 역할을 합니다.  모델링은 시스템을 그림이나 도표 등으로 시각화하여 표현하는 과정인데요, 이를 통해 개발팀은 복잡한 시스템을 쉽게 이해하고,  개발 과정에서 발생할 수 있는 문제점을 미리 파악하여 해결할 수 있습니다.  또한,  다양한 분야의 전문가들이 시스템에 대한 공통된 이해를 갖도록 도와주어 효율적인 협업을 가능하게 합니다.  모델링은 개발 초기 단계부터 유지보수 단계까지 전 과정에서 활용되며,  특히 초기 단계에서는 시스템의 요구사항을 명확히 하고 설계를 검증하는 데 필수적입니다.  따라서,  모델링 기법을 유지보수 단계에서만 활용한다는 주장은 틀린 것입니다.  다른 선지는 모두 소프트웨어 개발 과정에서 모델링이 수행하는 역할을 정확하게 설명하고 있습니다.  자료흐름도는 시스템의 처리 과정을 순차적으로 보여주는 대표적인 모델링 기법으로, 절차적인 프로그램 개발에 유용하게 사용됩니다.",89,3
507,1,6,7,요구 분석(Requirement Analysis)에 대한 설명으로 틀린 것은?,,요구 분석은 소프트웨어 개발의 실제적인 첫 단계로 사용자의 요구에 대해 이해하는 단계라 할 수 있다.,요구 추출(Requirement Elicitation)은 프로젝트 계획 단계에 정의한 문제의 범위 안에 있는 사용자의 요구를 찾는 단계이다.,도메인 분석(Domain Analysis)은 요구에 대한 정보를 수집하고 배경을 분석하여 이를 토대로 모델링을 하게 된다.,"기능적(Functional) 요구에서 시스템 구축에대한 성능, 보안, 품질, 안정 등에 대한 요구사항을 도출한다.",4,"이 문제는 소프트웨어 개발 과정 중 '요구 분석' 단계에 대한 이해도를 묻고 있습니다.  요구 분석은 사용자의 요구를 정확하게 파악하고 문서화하는 매우 중요한 단계입니다.  소프트웨어 개발은 사용자의 요구를 충족시키는 것이 목표이기 때문에, 이 단계에서 사용자의 요구를 제대로 이해하지 못하면 개발 결과물이 사용자의 기대에 부합하지 않을 가능성이 높아집니다.  문제에서 틀린 설명은 시스템 구축에 대한 성능, 보안, 품질, 안정 등의 요구사항을 기능적 요구에서 도출한다는 내용입니다.  기능적 요구는 시스템이 *무엇을* 해야 하는지에 대한 요구사항을 의미하며, 성능, 보안, 품질, 안정성 등은 *어떻게* 해야 하는지에 대한 비기능적 요구사항에 해당합니다.  따라서 시스템의 성능, 보안, 품질, 안정성과 같은 요구사항은 비기능적 요구에서 도출되어야 합니다.  다른 선택지는 모두 요구 분석 단계의 내용을 정확하게 설명하고 있으므로,  비기능적 요구와 기능적 요구의 차이를 명확히 이해하는 것이 중요합니다.  결론적으로, 기능적 요구와 비기능적 요구를 혼동한 설명이 틀린 것입니다.",55,2
508,1,6,8,클래스 다이어그램의 요소로 다음 설명에 해당하는 용어는?,https://www.cbtbank.kr/images/iz/iz20210814/iz20210814m8.gif,Instance,Operation,Item,Hiding,2,"문제에서 설명하는 용어는 클래스의 동작, 즉 클래스에 속한 객체가 수행할 수 있는 행위를 의미합니다.  쉽게 말해, 클래스가 무엇을 할 수 있는지를 나타내는 것이죠. 예를 들어 ""자동차""라는 클래스가 있다면, ""달리다"", ""멈추다"", ""경적을 울리다"" 등이 그 클래스의 동작(Operation)이 될 것입니다.  문제에서 ""클래스에 속하는 객체에 대하여 적용될 메서드를 정의한 것이다""라고 설명하고 있는데, 이는 객체지향 프로그래밍에서 클래스의 동작을 구현하는 방법인 메서드를 정의하는 것을 의미합니다. UML(Unified Modeling Language) 다이어그램에서 이러한 동작은 인터페이스를 통해 표현됩니다.  따라서 클래스의 동작을 나타내는 용어는 ""Operation""이 가장 적절합니다.  ""Instance""는 객체를, ""Item""은 항목을, ""Hiding""은 정보 은닉을 의미하므로 문제의 설명과는 맞지 않습니다.",69,7
509,1,6,9,분산 시스템을 위한 마스터-슬레이브(Master-Slave) 아키텍처에 대한 설명으로 틀린 것은?,,일반적으로 실시간 시스템에서 사용된다.,"마스터 프로세스는 일반적으로 연산, 통신, 조정을 책임진다.",슬레이브 프로세스는 데이터 수집 기능을 수행할 수 없다.,마스터 프로세스는 슬레이브 프로세스들을 제어할 수 있다.,3,"마스터-슬레이브 아키텍처는 하나의 마스터 프로세스가 여러 개의 슬레이브 프로세스를 관리하는 분산 시스템 구조입니다. 마스터는 전체 시스템의 제어와 조정을 담당하고, 슬레이브는 마스터의 지시에 따라 작업을 수행합니다.  문제에서 틀린 설명은 슬레이브 프로세스가 데이터 수집 기능을 수행할 수 없다는 것입니다. 슬레이브는 마스터의 명령에 따라 다양한 작업을 수행할 수 있으며, 데이터 수집 또한 그중 하나입니다. 예를 들어, 여러 개의 센서에서 데이터를 수집하는 시스템에서 각 센서와 연결된 슬레이브 프로세스가 데이터를 수집하고 마스터에게 전달하는 역할을 할 수 있습니다. 따라서 슬레이브 프로세스는 데이터 수집 기능을 수행할 수 있습니다. 다른 선택지들은 마스터-슬레이브 아키텍처의 일반적인 특징을 잘 나타내고 있습니다. 마스터는 시스템의 연산, 통신, 조정을 담당하고, 슬레이브들을 제어하며, 실시간 시스템에서 효율적인 처리를 위해 자주 사용됩니다.",80,9
510,1,6,10,요구 사항 정의 및 분석·설계의 결과물을 표현하기 위한 모델링 과정에서 사용되는 다이어그램(Diagram)이 아닌 것은?,,Data Flow Diagram,UML Diagram,E-R Diagram,AVL Diagram,4,"이 문제는 요구사항 정의 및 분석·설계 단계에서 사용되는 다이어그램을 묻고 있습니다.  소프트웨어 개발 과정에서 요구사항을 시각적으로 표현하고 이해하기 쉽도록 다양한 다이어그램을 사용하는데,  데이터 흐름도(Data Flow Diagram), UML 다이어그램, 그리고 E-R 다이어그램은 모두 요구사항 분석 및 설계에 널리 활용되는 대표적인 모델링 기법입니다.  데이터 흐름도는 시스템 내 데이터의 흐름을, UML 다이어그램은 시스템의 구조와 동작을, E-R 다이어그램은 데이터베이스의 개체와 관계를 시각적으로 표현하는 데 사용됩니다.  반면 AVL 다이어그램은 이진 탐색 트리의 한 종류인 AVL 트리를 나타내는 다이어그램으로,  소프트웨어 개발의 요구사항 정의 및 분석·설계 단계에서는 사용되지 않습니다. AVL 트리는 주로 데이터 구조 및 알고리즘 분야에서 효율적인 탐색, 삽입, 삭제 연산을 위해 사용되는 자료구조를 표현하는 데 사용됩니다. 따라서 요구사항 정의 및 분석·설계의 결과물을 표현하기 위한 모델링 과정에서는 AVL 다이어그램이 사용되지 않습니다.",73,3
511,1,6,11,객체지향의 주요 개념에 대한 설명으로 틀린 것은?,,캡슐화는 상위클래스에서 속성이나 연산을 전달받아 새로운 형태의 클래스로 확장하여 사용하는 것을 의미한다.,객체는 실세계에 존재하거나 생각할 수 있는 것을 말한다.,클래스는 하나 이상의 유사한 객체들을 묶어 공통된 특성을 표현한 것이다.,다형성은 상속받은 여러 개의 하위 객체들이 다른 형태의 특성을 갖는 객체로 이용될 수 있는 성질이다.,1,"객체지향 프로그래밍의 핵심 개념들을 묻는 문제입니다.  잘못된 설명을 찾는 것이 문제의 목표죠.  먼저, 객체는 실제 세상에 존재하거나 상상할 수 있는 모든 것을 의미합니다.  예를 들어, 자동차, 사람, 강아지 등이 객체가 될 수 있죠.  그리고 클래스는 이러한 객체들의 공통적인 특징을 추상화하여 표현한 것입니다.  자동차라는 클래스는 여러 종류의 자동차(객체)들의 공통적인 특징인 바퀴, 엔진, 색깔 등을 가지고 있죠. 다형성은 같은 종류의 객체라도 상황에 따라 다른 행동을 보이는 것을 의미합니다.  예를 들어, ""동물""이라는 클래스를 상속받은 ""강아지""와 ""고양이"" 객체는 모두 ""소리내기""라는 메서드를 가지지만, 강아지는 ""멍멍"", 고양이는 ""야옹""이라는 다른 소리를 내죠. 이것이 다형성입니다.  하지만, 캡슐화는 상위 클래스의 속성이나 연산을 단순히 물려받는 것 이상의 의미를 지닙니다.  캡슐화는 데이터와 그 데이터를 처리하는 함수를 하나로 묶어 외부로부터의 직접적인 접근을 제한하고, 데이터의 무결성을 보장하는 것을 의미합니다.  따라서, 상위 클래스의 기능을 확장하는 것은 상속의 개념에 더 가깝습니다.  문제에서 틀린 설명은 바로 이 캡슐화에 대한 설명입니다.  캡슐화는 상속과는 다른 개념이며, 상위 클래스의 기능을 단순히 확장하는 것이 아닌, 데이터 보호와 안정성을 중시하는 개념입니다.",79,7
512,1,6,12,사용자 인터페이스(User Interface)에 대한 설명으로 틀린 것은?,,사용자와 시스템이 정보를 주고받는 상호작용이 잘 이루어지도록 하는 장치나 소프트웨어를 의미한다.,편리한 유지보수를 위해 개발자 중심으로 설계되어야 한다.,배우기가 용이하고 쉽게 사용할 수 있도록 만들어져야 한다.,사용자 요구사항이 UI에 반영될 수 있도록 구성해야 한다.,2,"사용자 인터페이스(UI)는 사용자가 컴퓨터나 시스템과 상호작용하는 방식을 결정하는 중요한 요소입니다.  좋은 UI는 사용자가 원하는 정보를 쉽고 효율적으로 얻을 수 있도록 돕고, 시스템을 편리하게 사용할 수 있도록 만들어져야 합니다.  따라서 사용자의 요구사항을 반영하고, 배우기 쉽고 사용하기 편리해야 하는 것은 당연합니다.  하지만 UI는 사용자의 편의성을 최우선으로 고려해야 하며, 개발자의 편의성을 위해 설계되어서는 안 됩니다.  유지보수의 편리성은 중요하지만, 그것은 사용자 경험을 희생해서까지 우선시되어서는 안 되는 요소입니다.  결국, 사용자 중심의 디자인이 UI 설계의 핵심이며, 개발 편의성은 부차적인 고려사항이어야 합니다.  따라서 개발자 중심으로 설계되어야 한다는 주장은 잘못된 것입니다.",92,4
